CustomerID,Age,Annual Income (k$),Spending Score (1-100)
1,19,15,39
2,21,15,81
3,20,16,6
4,23,16,77
5,31,17,40
6,22,17,76
7,35,18,6
8,23,18,94
9,64,19,3
10,30,19,72
11,67,19,14
12,35,19,99
13,58,20,15
14,24,20,77
15,37,20,13
16,22,20,79
17,35,21,35
18,20,21,66
19,52,23,29
20,35,23,98
21,35,24,35
22,25,24,73
23,46,25,5
24,31,25,73
25,54,28,14
26,29,28,82
27,45,28,32
28,35,28,61
29,40,29,31
30,23,29,87
31,60,30,4
32,21,30,73
33,53,33,4
34,18,33,92
35,49,33,14
36,21,33,81
37,42,34,17
38,30,34,73
39,36,37,26
40,20,37,75
41,65,38,35
42,24,38,92
43,48,39,36
44,31,39,61
45,49,39,28
46,24,39,65
47,50,40,55
48,27,40,47
49,29,40,42
50,31,40,42
51,49,42,52
52,33,42,60
53,31,43,54
54,59,43,60
55,50,43,45
56,47,43,41
57,51,44,50
58,69,44,46
59,27,46,51
60,53,46,46
61,70,46,56
62,19,46,55
63,67,47,52
64,54,47,59
65,63,48,51
66,18,48,59
67,43,48,50
68,68,48,48
69,19,48,59
70,32,48,47
71,70,49,55
72,47,49,42
73,60,50,49
74,60,50,56
75,59,54,47
76,26,54,54
77,45,54,53
78,40,54,48
79,23,54,52
80,49,54,42
81,57,54,51
82,38,54,55
83,67,54,41
84,46,54,44
85,21,54,57
86,48,54,46
87,55,57,58
88,22,57,55
89,34,58,60
90,50,58,46
91,68,59,55
92,18,59,41
93,48,60,49
94,40,60,40
95,32,60,42
96,24,60,52
97,47,60,47
98,27,60,50
99,48,61,42
100,20,61,49